id,name,display_name,code,latitude,longitude,swlat,swlng,nelat,nelng,place_type,bbox_area,created_at,updated_at,ancestry,slug,source_id,admin_level,uuid,woeid,species_count,species_density
2507,Huerfano,"Huerfano County, US, CO",,37.6846796381,-104.9605845338,37.2891170000,-105.5017550000,38.0189460000,-104.3511090000,9,0.839774819534,2009-06-30 05:15:41,2018-09-06 14:33:58.221094,97394/1/34,huerfano-county,10464,20,b1c714b5-d011-49d9-9af0-9238e1a90233,12587755,1602,1907.6542458000429
1735,Grand,"Grand County, CO, US",,40.1026149441,-106.1183583135,39.6841220000,-106.6529570000,40.4862520000,-105.6260900000,9,0.82368082671,2009-06-30 05:07:39,2018-09-06 14:31:47.200815,97394/1/34,grand-county,10464,20,6d342f80-30c1-4312-add7-d36f772868a3,12587752,1691,2052.9796799499427
165,Sedgwick,"Sedgwick County, CO, US",,40.8759049725,-102.3517911990,40.7488960000,-102.6534880000,41.0025970000,-102.0513920000,9,0.152752357296,2009-06-30 04:49:14,2018-09-06 14:31:46.984284,97394/1/34,sedgwick-county,10464,20,2cec1367-6e4c-41b1-b641-63cee6219fe1,12587785,314,2055.6147581509204
2800,Bent,"Bent County, US, CO",,37.9550855775,-103.0717045705,37.6432720000,-103.4044260000,38.2677960000,-102.7403460000,9,0.41473389792,2009-06-30 05:18:41,2018-09-06 14:34:00.345851,97394/1/34,bent-county,10464,20,86638c54-4d07-482a-b9e1-3fb74200ba2d,12587733,874,2107.3753661886353
2508,Park,"Park County, CO, US",,39.1193027852,-105.7171746059,38.6930890000,-106.2101730000,39.5681970000,-105.3281530000,9,0.77186275816,2009-06-30 05:15:42,2018-09-06 14:31:46.994139,97394/1/34,park-county-co-us,10464,20,bd04ea54-58c7-4015-8a56-fc7c984fca92,12587774,1780,2306.1094490984915
1529,Conejos,"Conejos County, US, CO",,37.2006964774,-106.1916286129,36.9937580000,-106.6787050000,37.4036630000,-105.7180200000,9,0.393789584925,2009-06-30 05:04:45,2018-09-06 14:33:58.363517,97394/1/34,conejos-county,10464,20,8e92208e-5412-4052-9592-006a26d1155a,12587738,964,2448.007862329829
2284,Archuleta,"Archuleta County, US, CO",,37.1935963173,-107.0483292806,36.9924240000,-107.4824090000,37.4236230000,-106.4762290000,9,0.43386380982,2009-06-30 05:13:21,2018-09-06 14:33:58.324601,97394/1/34,archuleta-county,10464,20,69236780-8562-4819-b2a2-149c1f02d0be,12587731,1098,2530.7480715101237
1288,Montezuma,"Montezuma County, US, CO",,37.3384247033,-108.5966622299,36.9988380000,-109.0459240000,37.6395870000,-107.9699230000,9,0.689446564749,2009-06-30 05:01:56,2018-09-06 14:31:57.90562,97394/1/34,montezuma-county,10464,20,b12e2b8a-7af5-4be6-b88d-bb415a751a5e,12587769,1775,2574.528746323084
1928,San Miguel,"San Miguel County, US, CO",,38.0037403987,-108.4059221299,37.7735560000,-109.0429470000,38.1549590000,-107.7327870000,9,0.49969895448,2009-06-30 05:09:45,2018-09-06 14:33:58.183363,97394/1/34,san-miguel-county-co-us,10464,20,c8118468-cfb3-4471-aa9e-97e56d792a93,12587784,1343,2687.6181908316407
2893,Eagle,"Eagle County, US, CO",,39.6278256169,-106.6952992576,39.3494690000,-107.1139470000,39.9252920000,-106.1759200000,9,0.540137521221,2009-06-30 05:19:38,2018-09-06 14:34:00.608586,97394/1/34,eagle-county,10464,20,ce7607aa-db24-48f0-9464-2933907f2980,12587746,1452,2688.2042867855257
607,Otero,"Otero County, US, CO",,37.9027017254,-103.7164456847,37.6429360000,-104.0620730000,38.2655080000,-103.3981080000,9,0.41336601798,2009-06-30 04:54:06,2018-09-06 14:31:53.919227,97394/1/34,otero-county-co-us,10464,20,73f7abf2-fc56-47c0-bc76-f788f94a3ab7,12587772,1114,2694.9481852518875
3040,Pitkin,"Pitkin County, US, CO",,39.2171057467,-106.9165777498,38.9777200000,-107.4659570000,39.3663010000,-106.4264870000,9,0.40391829207,2009-06-30 05:21:10,2018-09-06 14:31:54.092644,97394/1/34,pitkin-county,10464,20,ac76f458-4953-4793-93ca-f5a771e9b69f,12587776,1186,2936.2374105960603
3039,Delta,"Delta County, US, CO",,38.8613737905,-107.8628768132,38.6679800000,-108.3789990000,39.2179260000,-107.5005530000,9,0.483097863916,2009-06-30 05:21:10,2018-09-06 14:31:54.102316,97394/1/34,delta-county-co-us,10464,20,ea426a7d-2593-4176-a138-16036ea8776b,12587742,1450,3001.4622466890532
2083,Mineral,"Mineral County, US, CO",,37.6689956825,-106.9240946463,37.3923040000,-107.1451380000,37.9750390000,-106.6935230000,9,0.263171867024955,2009-06-30 05:11:21,2018-09-06 14:33:58.315437,97394/1/34,mineral-county-co-us,10464,20,84991676-21da-4489-9e56-f4752c75fd27,12587767,801,3043.6383989480382
2135,Fremont,"Fremont County, US, CO",,38.4729724672,-105.4396570525,38.2575480000,-106.0127890000,38.6975810000,-104.9403660000,9,0.471901509959,2009-06-30 05:11:53,2018-09-06 14:33:58.211847,97394/1/34,fremont-county-co-us,10464,20,5d63200d-bd7b-49b1-9926-140b898ad63f,12587749,1462,3098.104094066201
2891,Chaffee,"Chaffee County, US, CO",,38.7469030854,-106.1940666652,38.4220920000,-106.5995160000,39.0579080000,-105.8780330000,9,0.458730435128,2009-06-30 05:19:36,2018-09-06 14:34:00.643395,97394/1/34,chaffee-county,10464,20,8e5fe577-dd1f-4471-a201-db06c6e27964,12587735,1467,3197.9565506497547
1535,La Plata,"La Plata County, US, CO",,37.2865582075,-107.8433355129,36.9990150000,-108.3810690000,37.6403300000,-107.4814240000,9,0.576955833175,2009-06-30 05:04:49,2018-09-06 14:33:58.171851,97394/1/34,la-plata-county,10464,20,0d07413a-d36c-478c-8c8c-0ab7bba06175,12587760,1851,3208.217845400589
163,Rio Grande,"Rio Grande County, CO, US",,37.5825228172,-106.3832103599,37.3993500000,-106.7118350000,37.8352440000,-106.0384100000,9,0.29354191695,2009-06-30 04:49:13,2018-09-06 14:31:47.048775,97394/1/34,rio-grande-county,10464,20,69c37622-5028-48f4-a593-984ceae6bdd3,12587780,998,3399.85515652946
1605,Pueblo,"Pueblo County, US, CO",,38.1734202374,-104.5128455559,37.7347040000,-105.0506780000,38.5224350000,-104.0539210000,9,0.785176388367,2009-06-30 05:06:13,2018-09-06 14:31:53.906268,97394/1/34,pueblo-county,10464,20,4e56e2bd-0559-4e14-9d53-40d785e8b7d4,12587778,3052,3887.0246803364926
201,Summit,"Summit County, US, CO",,39.6341705063,-106.1163790839,39.3573780000,-106.4403010000,39.9249140000,-105.7757020000,9,0.377183858064,2009-06-30 04:49:43,2018-09-06 14:31:54.860333,97394/1/34,summit-county,10464,20,86c2a648-d0eb-4bbb-b420-ecfcdc1aea0b,12587786,1487,3942.3744367864438
2782,Ouray,"Ouray County, US, CO",,38.1554971806,-107.7693168199,37.8920070000,-108.1323800000,38.3327780000,-107.5108800000,9,0.2739391765,2009-06-30 05:18:31,2018-09-06 14:34:00.335721,97394/1/34,ouray-county,10464,20,d94e322e-0a58-44fd-b399-c821cfc01b4e,12587773,1113,4062.945702839258
